"time"	"y1"	"y2"	"y3"
"1"	0	1	0	0
"2"	5	0.774049778897245	0.188906751086267	0.0381596695017164
"3"	10	0.624453444498729	0.266782772787448	0.116017361874426
"4"	15	0.533424986796066	0.286390710623945	0.200223767616259
"5"	20	0.486323642567966	0.277321380320929	0.275530972367117
"6"	25	0.471488973858956	0.255759652984747	0.336315039963075
"7"	30	0.479850619212197	0.230241538919069	0.381791850913445
"8"	35	0.504478554263207	0.205007120672709	0.413392944958881
"9"	40	0.540154813552623	0.181943467988871	0.43336721168332
"10"	45	0.583000037288716	0.161692534244371	0.444077871380574
"11"	50	0.630164363898561	0.144275398345431	0.447678433161272
"12"	55	0.679579455474706	0.129433983355116	0.445992867894366
"13"	60	0.729764057007077	0.116812184787048	0.4404981629428
"14"	65	0.779674426174757	0.106046349655866	0.432353982573809
"15"	70	0.828590227471239	0.0968065050758314	0.422449833468272
"16"	75	0.876028135234054	0.0888110679007277	0.4114553718747
"17"	80	0.921678183377325	0.0818280148515705	0.399866034720021
"18"	85	0.965355196317802	0.0756707498290583	0.388042336024036
"19"	90	1.00696334160415	0.070190919753081	0.376242272079998
"20"	95	1.04647039765661	0.0652716924458535	0.36464621930554
"21"	100	1.08388832005662	0.0608212831370319	0.353377014587661
"22"	105	1.11925945396241	0.0567675990893902	0.342514918870267
"23"	110	1.15264650363098	0.0530538914468004	0.332108941405972
"24"	115	1.18412448068136	0.0496349740579514	0.322186224314748
"25"	120	1.21377652523947	0.0464747848507384	0.312757391045955
"26"	125	1.24168973097949	0.0435441749628493	0.303821694065455
"27"	130	1.26795210177397	0.0408193055394154	0.295370792660101
"28"	135	1.29265120152919	0.0382803564324745	0.287391010817083
"29"	140	1.31587274212675	0.0359105926854563	0.279865317614598
"30"	145	1.33769975419669	0.0336958344463575	0.272774515809364
"31"	150	1.358212077366	0.0316237663142557	0.266098338424787
