"time"	"y1"	"y2"	"y3"
"1"	0	0.909318422062859	0	0
"2"	5	0.715609148605936	0.172667243738032	0.0442122209072584
"3"	10	0.72105210926438	0.25777336749651	0.0934450753988519
"4"	15	0.513513783396866	0.273664087886594	0.217447320095973
"5"	20	0.477146384358077	0.297382298516428	0.279849164433614
"6"	25	0.443309047728684	0.252779003952869	0.307836413184909
"7"	30	0.532917085908541	0.227783900700894	0.372557486062207
"8"	35	0.606223089473242	0.224728554182048	0.404173484115624
"9"	40	0.467025742036681	0.186256869243647	0.44767416150738
"10"	45	0.468351564006973	0.160003358298399	0.435789160684745
"11"	50	0.633784545762793	0.149793532563393	0.372526648188486
"12"	55	0.585566446942363	0.14195124982081	0.423842372608804
"13"	60	0.641880733156863	0.109333163687824	0.464143794095655
"14"	65	0.884520992924526	0.100941794036618	0.45000246691156
"15"	70	0.814518540357483	0.0972455615083024	0.464381967481349
"16"	75	0.911822777089714	0.0900741522754222	0.431533745631603
"17"	80	0.976135405589918	0.0818938288634464	0.455824463961297
"18"	85	0.742074013972229	0.0687811515334607	0.415065399338739
"19"	90	1.12751541127606	0.0739662871117642	0.378568399371236
"20"	95	0.973365407906223	0.0724120050043747	0.370499361639457
"21"	100	1.0934211214583	0.0626628007455705	0.307707754004914
"22"	105	1.09237082785759	0.0551151169089236	0.338487687316817
"23"	110	1.18726523865108	0.0512095871668653	0.357845120053184
"24"	115	1.03866989103058	0.0461784674636372	0.325246386053019
"25"	120	1.24701664535243	0.0476619716302418	0.278238293058448
"26"	125	1.16400929095199	0.0473354192000772	0.304315943188556
"27"	130	1.28774226001717	0.0433523548588712	0.279580846248796
"28"	135	1.02157512773782	0.0394586558407899	0.299519369778089
"29"	140	1.30719117683787	0.0401538896127544	0.287754621383151
"30"	145	1.43612273800676	0.0318357866721268	0.263255361909049
"31"	150	1.44312168052461	0.0291829388227474	0.263077736637481
